MoleculeGroup	PrecursorName	PrecursorFormula	PrecursorAdduct	PrecursorMz	PrecursorCharge	ProductName	ProductFormula	ProductAdduct	ProductMz	ProductCharge	Note
10-HDoHE	10-HDoHE	C22H32O3	[M-H]1-	343.227868554909	-1	325.2171		[M-H]1-	325.2171	-1	
10-HDoHE	10-HDoHE	C22H32O3	[M-H]1-	343.227868554909	-1	299.2378		[M-H]1-	299.2378	-1	
10-HDoHE	10-HDoHE	C22H32O3	[M-H]1-	343.227868554909	-1	281.2273		[M-H]1-	281.2273	-1	
10-HDoHE	10-HDoHE	C22H32O3	[M-H]1-	343.227868554909	-1	227.1803		[M-H]1-	227.1803	-1	
10-HDoHE	10-HDoHE	C22H32O3	[M-H]1-	343.227868554909	-1	181.0869		[M-H]1-	181.0869	-1	
10-HDoHE	10-HDoHE	C22H32O3	[M-H]1-	343.227868554909	-1	161.1335		[M-H]1-	161.1335	-1	
10-HDoHE	10-HDoHE	C22H32O3	[M-H]1-	343.227868554909	-1	153.0920		[M-H]1-	153.0920	-1	
10-HDoHE	10-HDoHE	C22H32O3	[M-H]1-	343.227868554909	-1	121.0658		[M-H]1-	121.0658	-1	
10-HDoHE	10-HDoHE	C22H32O3	[M-H]1-	343.227868554909	-1	59.0133		[M-H]1-	59.0133	-1	
10-HDoHE	10-HDoHE	C22H32O3	[M-H]1-	343.227868554909	-1	precursor	C22H32O3	[M-H]1-	343.227868554909	-1	
11(12)-EET	11(12)-EET{d11}	C20H21H'11O3	[M-H]1-	330.296912738909	-1	312.2862		[M-H]1-	312.2862	-1	
11(12)-EET	11(12)-EET{d11}	C20H21H'11O3	[M-H]1-	330.296912738909	-1	268.2963		[M-H]1-	268.2963	-1	
11(12)-EET	11(12)-EET{d11}	C20H21H'11O3	[M-H]1-	330.296912738909	-1	214.2494		[M-H]1-	214.2494	-1	
11(12)-EET	11(12)-EET{d11}	C20H21H'11O3	[M-H]1-	330.296912738909	-1	208.1103		[M-H]1-	208.1103	-1	
11(12)-EET	11(12)-EET{d11}	C20H21H'11O3	[M-H]1-	330.296912738909	-1	179.1076		[M-H]1-	179.1076	-1	
11(12)-EET	11(12)-EET{d11}	C20H21H'11O3	[M-H]1-	330.296912738909	-1	167.1076		[M-H]1-	167.1076	-1	
11(12)-EET	11(12)-EET{d11}	C20H21H'11O3	[M-H]1-	330.296912738909	-1	149.0970		[M-H]1-	149.0970	-1	
11(12)-EET	11(12)-EET{d11}	C20H21H'11O3	[M-H]1-	330.296912738909	-1	59.0133		[M-H]1-	59.0133	-1	
11(12)-EET	11(12)-EET{d11}	C20H21H'11O3	[M-H]1-	330.296912738909	-1	precursor	C20H21H'11O3	[M-H]1-	330.296912738909	-1	
11,12-DHET	11,12-DHET{d11}	C20H23H'11O4	[M-H]1-	348.307477438909	-1	330.2971		[M-H]1-	330.2971	-1	
11,12-DHET	11,12-DHET{d11}	C20H23H'11O4	[M-H]1-	348.307477438909	-1	197.1185		[M-H]1-	197.1185	-1	
11,12-DHET	11,12-DHET{d11}	C20H23H'11O4	[M-H]1-	348.307477438909	-1	180.1926		[M-H]1-	180.1926	-1	
11,12-DHET	11,12-DHET{d11}	C20H23H'11O4	[M-H]1-	348.307477438909	-1	167.1079		[M-H]1-	167.1079	-1	
11,12-DHET	11,12-DHET{d11}	C20H23H'11O4	[M-H]1-	348.307477438909	-1	149.0973		[M-H]1-	149.0973	-1	
11,12-DHET	11,12-DHET{d11}	C20H23H'11O4	[M-H]1-	348.307477438909	-1	58.0057		[M-H]1-	58.0057	-1	
11,12-DHET	11,12-DHET{d11}	C20H23H'11O4	[M-H]1-	348.307477438909	-1	precursor	C20H23H'11O4	[M-H]1-	348.307477438909	-1	
